ID,M/F,collarID
554,F,40996
500,F,41004
499,M,40995
83,F,41013
84,F,40991
455,M,40993
80,F,40994
82,M,41014
85,M,41015
87,M,41011
93,M,41002
445,M,41005
89,M,41008
90,M,41009
94,M,41007
99,M,60000
100,F,41006
501,F,50000
502,F,41010
526,F,40999
527,F,40997
505,F,41001
555,M,40998
556,F,41012
512,M,43599
427,M,43594
608,F,70000
609,F,80000
17,F,43608
